Example,Commodity Title
Adobe Acrobat,Document management software
AdSense Tracker,Data base user interface and query software
Atlassian JIRA,Content workflow software
Blackbaud The Raiser's Edge,Customer relationship management CRM software
ComputerEase construction accounting software,Accounting software
Database reporting software,Data base reporting software
Databox,Data base user interface and query software
Email software,Electronic mail software
Enterprise resource planning ERP software,Enterprise resource planning ERP software
Exact Software Macola ES Labor Performance,Time accounting software
Extensible markup language XML,Enterprise application integration software
Fund accounting software,Accounting software
Graphic presentation software,Graphics or photo imaging software
Halogen e360,Human resources software
Halogen ePraisal,Human resources software
HCSS HeavyBid,Project management software
HCSS HeavyJob,Project management software
Human resource information system (HRIS),Human resources software
Infor SSA Human Capital Management,Human resources software
Intuit QuickBooks,Accounting software
Listserv software,Electronic mail software
Lyris HQ Web-Analytics Solution,Analytical or scientific software
Mentimeter,Presentation software
Microsoft Access,Data base user interface and query software
Microsoft Dynamics,Enterprise resource planning ERP software
Microsoft Dynamics AX,Enterprise resource planning ERP software
Microsoft Dynamics GP,Enterprise resource planning ERP software
Microsoft Excel,Spreadsheet software
Microsoft FRx,Financial analysis software
Microsoft Office software,Office suite software
Microsoft Outlook,Electronic mail software
Microsoft PowerPoint,Presentation software
Microsoft Project,Project management software
Microsoft Publisher,Desktop publishing software
Microsoft SharePoint,Document management software
Microsoft Word,Word processing software
Nedstat Sitestat,Analytical or scientific software
Norchard Solutions Succession Wizard,Time accounting software
Online advertising reporting software,Analytical or scientific software
Oracle E-Business Suite,Enterprise resource planning ERP software
Oracle PeopleSoft,Enterprise resource planning ERP software
Oracle Siebel Server Sync,Customer relationship management CRM software
PHP,Web platform development software
Relational database management software,Data base management system software
Sage 50 Accounting,Accounting software
SAP software,Enterprise resource planning ERP software
SmugMug Flickr,Graphics or photo imaging software
Structured query language SQL,Data base user interface and query software
Web browser software,Internet browser software
Adobe Photoshop,Graphics or photo imaging software
Facebook,Web page creation and editing software
Management information systems MIS,Enterprise resource planning ERP software
Salesforce software,Customer relationship management CRM software
Scheduling software,Calendar and scheduling software
Structure query language SQL,Data base user interface and query software
Tableau,Business intelligence and data analysis software
Teleconferencing software,Video conferencing software
Act!,Customer relationship management CRM software
ActionWare,Customer relationship management CRM software
Adobe Creative Cloud software,Graphics or photo imaging software
ADP Workforce Now,Human resources software
Airtable,Data base user interface and query software
Amazon Web Services AWS software,Data base user interface and query software
AMG Teleran SalesInSync,Customer relationship management CRM software
Apache Hadoop,Data base management system software
Apple Final Cut Pro,Video creation and editing software
Apple Keynote,Presentation software
Apple macOS,Operating system software
Atlassian Confluence,Project management software
Autodesk AutoCAD,Computer aided design CAD software
Avidian Technologies Prophet,Customer relationship management CRM software
Blackboard software,Data base user interface and query software
Calendar and scheduling software,Calendar and scheduling software
Citrix cloud computing software,Access software
CNC Mastercam,Computer aided manufacturing CAM software
